Name,Feild of work,Author's Pub,Adj.#,Citations,h-index,i10-index,HomePage,ORCID,Institution,Count for ins,Faculty
Klara Nahrstedt,,3,1.2,,,,,0000-0001-6813-3043,Univ. of Illinois at Urbana-Champaign,7.1,44
ChengXiang Zhai,,3,0.5,38521.0,89.0,278.0,http://czhai.cs.illinois.edu/,,Univ. of Illinois at Urbana-Champaign,7.1,44
Yun Huang 0003,Hci,2,0.5,,,,,0000-0003-3233-6978,Univ. of Illinois at Urbana-Champaign,7.1,44
Marco Caccamo,Embedded,2,0.5,7983.0,47.0,102.0,https://rtsl.cps.mw.tum.de/personal_page/mcaccamo/,0000-0003-2328-044X,Univ. of Illinois at Urbana-Champaign,7.1,44
Thenkurussi Kesavadas,,2,0.3,,,,,0000-0002-3770-9756,Univ. of Illinois at Urbana-Champaign,7.1,44
Alex Kirlik,Hci,2,0.4,3284.0,29.0,66.0,http://cs.illinois.edu/directory/profile/kirlik,,Univ. of Illinois at Urbana-Champaign,7.1,44
Darko Marinov,Se,2,0.3,12040.0,52.0,125.0,http://mir.cs.illinois.edu/marinov,0000-0001-5023-3492,Univ. of Illinois at Urbana-Champaign,7.1,44
Paris Smaragdis,"Ml, Hci",2,0.5,12308.0,50.0,145.0,http://paris.cs.illinois.edu/,,Univ. of Illinois at Urbana-Champaign,7.1,44
Elahe Soltanaghai,"Mobile, Hci",2,0.4,409.0,9.0,9.0,http://elahe.web.illinois.edu/,,Univ. of Illinois at Urbana-Champaign,7.1,44
Deepak Vasisht,Networks,2,0.7,2462.0,15.0,18.0,http://people.csail.mit.edu/deepak,0000-0003-3826-0978,Univ. of Illinois at Urbana-Champaign,7.1,44
Craig B. Zilles,"Arch, Hci",2,0.4,6254.0,38.0,76.0,http://zilles.cs.illinois.edu/,0000-0003-4601-4398,Univ. of Illinois at Urbana-Champaign,7.1,44
Jiawei Han 0001,,1,0.3,232089.0,195.0,962.0,http://www.cs.uiuc.edu/~hanj,,Univ. of Illinois at Urbana-Champaign,7.1,44
Geir E. Dullerud,,1,0.1,,,,,0000-0003-0596-6050,Univ. of Illinois at Urbana-Champaign,7.1,44
Jingrui He,Ai,1,0.2,4235.0,32.0,96.0,https://www.hejingrui.org/,,Univ. of Illinois at Urbana-Champaign,7.1,44
Ravishankar K. Iyer,,1,0.2,,,,,0000-0003-2245-3038,Univ. of Illinois at Urbana-Champaign,7.1,44
Daniel Kang,Db,1,0.1,1681.0,14.0,17.0,http://ddkang.github.io/,,Univ. of Illinois at Urbana-Champaign,7.1,44
Sayan Mitra,"Logic, Embedded",1,0.1,3789.0,32.0,82.0,http://mitras.ece.illinois.edu/,0000-0001-7082-5516,Univ. of Illinois at Urbana-Champaign,7.1,44
Alexander G. Schwing,"Vision, Ml",1,0.3,10437.0,55.0,106.0,http://alexander-schwing.de/,,Univ. of Illinois at Urbana-Champaign,7.1,44
Saurabh Sinha,"Eda, Se",1,0.3,13104.0,53.0,109.0,http://www.sinhalab.net/,0000-0003-4634-3925,Univ. of Illinois at Urbana-Champaign,7.1,44
Jimeng Sun,Ai,1,0.1,24823.0,78.0,223.0,http://www.sunlab.org/,0000-0003-1512-6426,Univ. of Illinois at Urbana-Champaign,7.1,44
Matus Telgarsky,Ml,1,0.3,4368.0,19.0,26.0,http://mjt.cs.illinois.edu/,0000-0003-1154-3898,Univ. of Illinois at Urbana-Champaign,7.1,44
Yu-Xiong Wang,Vision,1,0.2,3942.0,24.0,35.0,https://yxw.cs.illinois.edu/,,Univ. of Illinois at Urbana-Champaign,7.1,44
Tianyin Xu,Os,1,0.3,2059.0,24.0,44.0,https://tianyin.github.io/,0000-0003-4443-8170,Univ. of Illinois at Urbana-Champaign,7.1,44
Eytan Adar,Hci,23,6.5,17390.0,52.0,101.0,http://www.cond.org/,0000-0003-1911-836X,University of Michigan,6.8,41
Odest Chadwicke Jenkins,Robotics,21,5.4,5541.0,38.0,85.0,http://ocj.name/,0000-0003-3750-7334,University of Michigan,6.8,41
Dmitry Berenson,Robotics,20,7.6,5834.0,33.0,68.0,http://web.eecs.umich.edu/~dmitryb/,0000-0002-9712-109X,University of Michigan,6.8,41
Michael Nebeling,Hci,20,6.2,1886.0,26.0,41.0,http://michael-nebeling.de/,,University of Michigan,6.8,41
Tawanna Dillahunt,Hci,19,6.5,3766.0,30.0,53.0,http://tawannadillahunt.com/,,University of Michigan,6.8,41
Grant Schoenebeck,Ecom,19,7.4,,,,,0000-0001-6878-0670,University of Michigan,6.8,41
Florian Schaub,Hci,18,3.4,8078.0,44.0,95.0,https://www.si.umich.edu/node/14618,0000-0003-1039-7155,University of Michigan,6.8,41
Mark W. Newman,,17,4.9,8169.0,43.0,94.0,http://mwnewman.people.si.umich.edu/,0000-0001-7186-1383,University of Michigan,6.8,41
Eric Gilbert,Hci,15,5.4,12811.0,42.0,62.0,http://eegilbert.org/,,University of Michigan,6.8,41
Steve Oney,Hci,15,4.1,1203.0,17.0,21.0,http://from.so/,,University of Michigan,6.8,41
Alanson P. Sample,Hci,13,3.0,9379.0,41.0,70.0,http://www.alansonsample.com/,0000-0002-8046-0538,University of Michigan,6.8,41
Nikola Banovic 0001,Hci,11,3.2,948.0,14.0,15.0,http://www.nikolabanovic.net/,0000-0002-2790-3264,University of Michigan,6.8,41
Anhong Guo,Hci,10,1.7,1356.0,21.0,27.0,https://guoanhong.com/,,University of Michigan,6.8,41
Mark S. Ackerman,,9,2.3,18467.0,58.0,133.0,http://www.eecs.umich.edu/~ackerm,0000-0001-9727-1664,University of Michigan,6.8,41
Robert D. Gregg IV,Robotics,9,2.1,3355.0,32.0,79.0,https://gregg.engin.umich.edu/,,University of Michigan,6.8,41
Dhruv Jain,Hci,9,1.3,727.0,16.0,19.0,http://dhruvjain.info/,,University of Michigan,6.8,41
Benjamin Kuipers,Robotics,9,3.9,22870.0,68.0,172.0,http://eecs.umich.edu/~kuipers/,,University of Michigan,6.8,41
Jason J. Corso,Vision,8,2.3,13171.0,46.0,115.0,http://web.eecs.umich.edu/~jjcorso,0000-0001-6454-9594,University of Michigan,6.8,41
Michael P. Wellman,,8,2.8,20572.0,71.0,191.0,http://strategicreasoning.org/michael-p-wellman/,0000-0002-1691-6844,University of Michigan,6.8,41
Robert P. Dick,"Ml, Hci",4,0.5,11279.0,52.0,115.0,https://robertdick.org/,0000-0001-5428-9530,University of Michigan,6.8,41
Andrew Owens,Vision,4,0.7,4644.0,19.0,21.0,http://andrewowens.com/,0000-0001-5891-6001,University of Michigan,6.8,41
Qiaozhu Mei,Web+ir,3,0.5,19580.0,56.0,120.0,http://www-personal.umich.edu/~qmei/,,University of Michigan,6.8,41
Kang G. Shin,,3,1.0,56580.0,116.0,660.0,http://www.eecs.umich.edu/~kgshin,0000-0003-0086-8777,University of Michigan,6.8,41
Xu Wang 0016,Hci,2,0.7,1233.0,11.0,16.0,https://web.eecs.umich.edu/~xwanghci/,0000-0001-5551-0815,University of Michigan,6.8,41
Stella X. Yu,Vision,2,0.6,10043.0,39.0,75.0,http://web.eecs.umich.edu/~stellayu,0000-0002-3507-5761,University of Michigan,6.8,41
Ceren Budak,Web+ir,1,0.3,2900.0,23.0,36.0,http://cbudak.com/,0000-0002-7767-3217,University of Michigan,6.8,41
Joyce Y. Chai,Nlp,1,0.2,,,,,,University of Michigan,6.8,41
Kevin Fu,Security,1,0.2,13409.0,47.0,82.0,http://kevinfu.com/,,University of Michigan,6.8,41
Mark Guzdial,,1,0.3,20452.0,61.0,188.0,https://guzdial.engin.umich.edu/,0000-0003-4427-9763,University of Michigan,6.8,41
J. Alex Halderman,"Security, Metrics",1,0.2,14804.0,45.0,75.0,https://jhalderm.com/,,University of Michigan,6.8,41
Vineet R. Kamat,,1,0.3,7204.0,47.0,148.0,http://live.engin.umich.edu/,0000-0003-0788-5588,University of Michigan,6.8,41
David E. Kieras,,1,0.5,16789.0,55.0,102.0,http://www.eecs.umich.edu/~kieras/,0000-0002-0713-9211,University of Michigan,6.8,41
Danai Koutra,"Nlp, Web+ir",1,0.2,6396.0,33.0,71.0,http://danaikoutra.com/,0000-0002-3206-8179,University of Michigan,6.8,41
Euiwoong Lee,Theory,1,0.5,952.0,18.0,28.0,https://web.eecs.umich.edu/~euiwoong/,0000-0003-1454-7587,University of Michigan,6.8,41
Mingyan Liu,"Ml, Ai, Vision",1,0.2,12991.0,51.0,144.0,http://liu.engin.umich.edu/,0000-0003-3295-9200,University of Michigan,6.8,41
Harsha V. Madhyastha,Networks,1,0.3,5941.0,34.0,66.0,http://web.eecs.umich.edu/~harshavm/,,University of Michigan,6.8,41
Jason Mars,Arch,1,0.1,6528.0,37.0,59.0,https://www.jasonmars.org/,,University of Michigan,6.8,41
Chris Peikert,Crypto,1,0.3,19691.0,47.0,72.0,http://web.eecs.umich.edu/~cpeikert/,0000-0003-0419-7501,University of Michigan,6.8,41
Daniel M. Romero,Web+ir,1,0.3,6681.0,23.0,35.0,http://dromero.org/,0000-0002-8351-3463,University of Michigan,6.8,41
Lingjia Tang,Arch,1,0.1,6100.0,35.0,50.0,http://www.lingjia.org/,,University of Michigan,6.8,41
Westley Weimer,"Se, Arch",1,0.3,17278.0,53.0,96.0,http://web.eecs.umich.edu/~weimerw/,0000-0001-6749-2204,University of Michigan,6.8,41
Vijay Kumar 0001,Robotics,103,27.0,,,,,0000-0002-3902-9391,University of Pennsylvania,6.3,38
Mark Yim,Robotics,45,15.7,,,,,0000-0002-0837-052X,University of Pennsylvania,6.3,38
Kostas Daniilidis,"Robotics, Vision",38,10.5,21887.0,79.0,202.0,http://www.cis.upenn.edu/~kostas,0000-0003-0498-0758,University of Pennsylvania,6.3,38
Chenfanfu Jiang,Graphics,34,6.4,3140.0,30.0,57.0,https://www.math.ucla.edu/~cffjiang/,0000-0003-3506-0583,University of Pennsylvania,6.3,38
George J. Pappas,Robotics,27,7.1,40347.0,102.0,407.0,http://www.cis.upenn.edu/~pappasg/,0000-0001-9081-0637,University of Pennsylvania,6.3,38
Daniel E. Koditschek,Robotics,24,9.1,,,,,0000-0001-5188-1352,University of Pennsylvania,6.3,38
M. Ani Hsieh,Robotics,20,6.2,2838.0,26.0,54.0,http://scalar.seas.upenn.edu/,0000-0003-2186-9074,University of Pennsylvania,6.3,38
Ruzena Bajcsy,,18,5.6,,,,,0000-0001-6492-8498,University of Pennsylvania,6.3,38
Camillo J. Taylor,Robotics,18,4.5,,,,,0000-0002-9332-5087,University of Pennsylvania,6.3,38
Aaron Roth 0001,"Ml, Theory, Ecom",15,4.6,16480.0,52.0,101.0,http://www.cis.upenn.edu/~aaroth,,University of Pennsylvania,6.3,38
Cynthia R. Sung,Robotics,11,2.9,,,,,0000-0002-8967-1841,University of Pennsylvania,6.3,38
Andrew Head,Hci,8,1.6,805.0,15.0,16.0,https://andrewhead.info/,,University of Pennsylvania,6.3,38
Michael Posa,Robotics,8,3.3,1489.0,13.0,16.0,https://posa.seas.upenn.edu/,0000-0003-0599-385X,University of Pennsylvania,6.3,38
Sanjeev Khanna,,7,1.9,15988.0,67.0,172.0,https://www.cis.upenn.edu/~sanjeev/,,University of Pennsylvania,6.3,38
Pratik Chaudhari,Ml,6,1.9,2008.0,14.0,24.0,https://pratikac.github.io/,0000-0003-4590-1956,University of Pennsylvania,6.3,38
Michael Kearns,,6,1.2,27071.0,77.0,163.0,http://www.cis.upenn.edu/~mkearns,,University of Pennsylvania,6.3,38
Lingjie Liu,Vision,6,1.0,1612.0,18.0,24.0,https://lingjie0206.github.io/,0000-0003-4301-1474,University of Pennsylvania,6.3,38
Duncan J. Watts,Ecom,4,1.3,120640.0,64.0,94.0,https://duncanjwatts.com/,0000-0001-5005-4961,University of Pennsylvania,6.3,38
Norman I. Badler,Robotics,3,0.8,22294.0,74.0,213.0,http://www.cis.upenn.edu/~badler,0000-0001-8659-3828,University of Pennsylvania,6.3,38
Osbert Bastani,Ml,3,1.1,2515.0,24.0,40.0,https://obastani.github.io/,0000-0001-9990-7566,University of Pennsylvania,6.3,38
Insup Lee,,3,0.6,,,,,0000-0003-2672-1132,University of Pennsylvania,6.3,38
Danaë Metaxa,Hci,3,0.6,354.0,9.0,9.0,https://metaxa.net/,0000-0001-9359-6090,University of Pennsylvania,6.3,38
Ryan Baker 0001,Hci,2,0.3,25000.0,72.0,276.0,http://www.upenn.edu/learninganalytics/ryanbaker/,0000-0002-3051-3232,University of Pennsylvania,6.3,38
Seyed Hamed Hassani,Ml,2,0.4,,,,,0000-0002-9448-8750,University of Pennsylvania,6.3,38
Dinesh Jayaraman,"Ml, Vision",2,0.4,2998.0,25.0,30.0,https://www.seas.upenn.edu/~dineshj/,0000-0002-6888-3095,University of Pennsylvania,6.3,38
Sampath Kannan,,2,0.4,,,,,,University of Pennsylvania,6.3,38
Rakesh V. Vohra,Ecom,2,0.4,9137.0,41.0,98.0,https://sites.google.com/site/quaerereverum9/,0000-0003-1049-0827,University of Pennsylvania,6.3,38
Yoseph Barash,,1,0.3,,,,,0000-0003-3005-5048,University of Pennsylvania,6.3,38
Chris Callison-Burch,Nlp,1,0.2,23644.0,58.0,151.0,http://cis.upenn.edu/~ccb,,University of Pennsylvania,6.3,38
Jean H. Gallier,,1,0.3,7436.0,39.0,72.0,http://www.cis.upenn.edu/~jean/,,University of Pennsylvania,6.3,38
Rahul Mangharam,Embedded,1,0.2,5373.0,40.0,96.0,http://www.seas.upenn.edu/~rahulm/,,University of Pennsylvania,6.3,38
Mitchell P. Marcus,Nlp,1,0.2,24010.0,39.0,68.0,http://www.cis.upenn.edu/~mitch/,,University of Pennsylvania,6.3,38
Pratyush Mishra,"Security, Crypto",1,0.2,1910.0,12.0,12.0,http://pratyushmishra.com/,,University of Pennsylvania,6.3,38
Mayur Naik,"Pl, Ml",1,0.2,9669.0,37.0,58.0,http://www.seas.upenn.edu/~mhnaik,,University of Pennsylvania,6.3,38
Jianbo Shi,Vision,1,0.3,,,,,,University of Pennsylvania,6.3,38
Lyle H. Ungar,Nlp,1,0.1,40388.0,87.0,300.0,http://www.cis.upenn.edu/~ungar,,University of Pennsylvania,6.3,38
Li-San Wang,,1,0.2,25401.0,62.0,135.0,https://www.lisanwanglab.org/lswang/,,University of Pennsylvania,6.3,38
Mingmin Zhao,"Vision, Mobile",1,0.2,1992.0,13.0,13.0,http://people.csail.mit.edu/mingmin/,,University of Pennsylvania,6.3,38
Changxi Zheng,Graphics,31,8.0,3272.0,33.0,58.0,http://www.cs.columbia.edu/~cxz,0000-0002-7463-0289,Columbia University,6.1,16
Peter K. Allen,Robotics,25,7.0,,,,,,Columbia University,6.1,16
Timothy Roughgarden,"Ecom, Theory",18,7.2,23030.0,65.0,153.0,http://timroughgarden.org/,0000-0002-7163-8306,Columbia University,6.1,16
Shuran Song,"Vision, Robotics",15,2.9,19022.0,35.0,48.0,https://www.cs.columbia.edu/~shurans/,0000-0002-8768-7356,Columbia University,6.1,16
Lydia B. Chilton,Hci,12,3.4,3852.0,20.0,23.0,http://hmslydia.com/,0000-0002-1737-1276,Columbia University,6.1,16
Steven K. Feiner,,10,2.8,43485.0,81.0,224.0,http://www.cs.columbia.edu/~feiner,0000-0001-9978-7090,Columbia University,6.1,16
Christos H. Papadimitriou,,9,2.9,,,,,,Columbia University,6.1,16
Shree K. Nayar,"Vision, Hci",7,2.1,,,,,,Columbia University,6.1,16
Itsik Pe'er,Comp. bio,3,1.3,28596.0,52.0,107.0,http://www.cs.columbia.edu/~itsik,0000-0002-6128-7231,Columbia University,6.1,16
Eugene Wu 0002,Db,2,0.5,6533.0,34.0,50.0,http://www.eugenewu.net/,0000-0003-4254-6688,Columbia University,6.1,16
Shih-Fu Chang,,2,0.3,67155.0,130.0,532.0,http://www.columbia.edu/~sc250,0000-0003-1444-1205,Columbia University,6.1,16
Mihalis Yannakakis,,2,0.5,,,,,0000-0003-2857-1860,Columbia University,6.1,16
Zhou Yu,Nlp,2,0.3,3275.0,32.0,63.0,http://cs.columbia.edu/~zhouyu,0000-0001-8407-1137,Columbia University,6.1,16
Yaniv Erlich,,1,0.3,19604.0,32.0,46.0,http://teamerlich.org/,,Columbia University,6.1,16
Baishakhi Ray,Se,1,0.1,5331.0,31.0,47.0,http://rayb.info/,0000-0003-3406-5235,Columbia University,6.1,16
Simha Sethumadhavan,Arch,1,0.2,,,,,,Columbia University,6.1,16
Gregory D. Abowd,,38,6.7,63525.0,91.0,316.0,http://www.gregoryabowd.com/,0000-0002-3408-587X,Northeastern University,6.1,42
Enrico Bertini,"Visualization, Hci",18,4.3,5631.0,40.0,73.0,http://enrico.bertini.io/,0000-0002-9932-0551,Northeastern University,6.1,42
Robert Platt Jr.,Robotics,14,3.8,6247.0,36.0,78.0,http://www.ccs.neu.edu/home/rplatt/,,Northeastern University,6.1,42
Taskin Padir,Robotics,13,4.2,1872.0,19.0,42.0,http://www.tpadir.info/,0000-0001-5123-5801,Northeastern University,6.1,42
Christopher Amato,"Robotics, Ai",12,2.3,4383.0,33.0,54.0,http://www.ccs.neu.edu/home/camato/,0000-0002-6786-7384,Northeastern University,6.1,42
Cody Dunne,"Hci, Visualization",11,2.3,2749.0,22.0,31.0,https://vis.khoury.northeastern.edu/people/Cody-Dunne/,0000-0002-1609-9776,Northeastern University,6.1,42
Michelle Borkin,"Hci, Visualization",10,1.6,3151.0,21.0,27.0,https://www.ccs.neu.edu/home/borkin/,0000-0002-8016-355X,Northeastern University,6.1,42
Elizabeth D. Mynatt,,10,2.8,,,,,,Northeastern University,6.1,42
Lawson L. S. Wong,Robotics,8,2.1,836.0,16.0,17.0,https://www.ccis.northeastern.edu/people/lawson-wong/,,Northeastern University,6.1,42
Timothy W. Bickmore,Hci,7,2.1,19086.0,66.0,187.0,http://www.ccs.neu.edu/home/bickmore,0000-0002-2676-9788,Northeastern University,6.1,42
Alexandra To,Hci,7,1.3,951.0,11.0,13.0,http://alexandrato.com/,,Northeastern University,6.1,42
Herman Saksono,Hci,6,1.3,375.0,9.0,8.0,https://hermansaksono.com/,0000-0002-1148-7534,Northeastern University,6.1,42
Olga Vitek,Comp. bio,6,1.1,9043.0,42.0,73.0,https://olga-vitek-lab.ccis.northeastern.edu/,0000-0003-1728-1104,Northeastern University,6.1,42
Varun Mishra 0001,Hci,5,0.8,412.0,13.0,16.0,https://varunmishra.com/,0000-0003-3891-5460,Northeastern University,6.1,42
Soheil Behnezhad,Theory,4,1.2,670.0,16.0,24.0,http://behnezhad.com/,,Northeastern University,6.1,42
Seth Cooper,Hci,4,1.6,8287.0,24.0,46.0,http://www.ccs.neu.edu/home/scooper/,0000-0003-4504-0877,Northeastern University,6.1,42
Mahsa Derakhshan,"Theory, Ecom",4,1.0,,,,,,Northeastern University,6.1,42
Predrag Radivojac,"Ai, Comp. bio",4,1.2,18321.0,56.0,110.0,https://www.ccs.neu.edu/home/radivojac/,0000-0002-6769-0793,Northeastern University,6.1,42
Stephen S. Intille,Hci,3,0.5,20332.0,58.0,124.0,http://ccs.neu.edu/home/intille,0000-0002-0287-2553,Northeastern University,6.1,42
Stacy Marsella,Hci,3,0.4,17945.0,67.0,185.0,http://www.ccs.neu.edu/~marsella,0000-0002-5711-7934,Northeastern University,6.1,42
